"name","lat","lng","n"
"01",46.1107629050134,5.38093936940301,451848
"02",49.5515028006024,3.45695146759957,421400
"03",46.3253636763907,3.22699864682363,271263
"04",44.0158918661036,6.0559422069451,171202
"05",44.6390425373419,6.25766365512117,140560
"06",43.6853436679419,7.16489372910348,641886
"07",44.808852592608,4.52546868139959,258230
"08",49.7403012692686,4.71623421373128,244952
"09",42.9591868673415,1.52279923083644,251326
"10",48.3098674391644,4.12458356921223,235614
"11",43.1532362406569,2.61842423141032,305254
"12",44.3524800839789,2.61457635230902,332915
"13",43.4312720192207,5.29472084118536,1097337
"14",49.1807375184059,-0.322614956948954,567426
"15",45.026098777444,2.62925931800324,231750
"16",45.7018992942182,0.12689541136866,288367
"17",45.8948147444409,-0.954257626045095,619140
"18",47.0678269377089,2.4099252878667,231592
"19",45.2790920772638,1.77144253470478,234578
"21",47.3388075327914,4.94114995684827,485301
"22",48.5362436283351,-2.83471707184964,486991
"23",46.0728736038211,1.99449335319127,102041
"24",45.0782675040592,0.733898251694603,443664
"25",47.2296692982795,6.32529523906463,553817
"26",44.7926513460947,4.96280561428504,452992
"27",49.1261753717231,1.12241972165573,433330
"28",48.4523074114269,1.41177520586639,271429
"29",48.2348522486868,-4.19903413430987,665830
"2A",41.858472416368,8.89075091671645,107589
"2B",42.5168023336376,9.26059680593591,114410
"30",43.932826330892,4.31506232267722,517022
"31",43.5360871427073,1.3665360698383,995821
"32",43.7520172937526,0.434423146015754,213168
"33",44.8386873167329,-0.589490653405717,1213003
"34",43.5316031240531,3.65158307781411,848461
"35",48.194057077664,-1.6887804188474,731175
"36",46.7727634822497,1.59320408169625,214836
"37",47.3308775203062,0.688226334920757,452673
"38",45.3271510574041,5.51845856658862,1077356
"39",46.7220145576839,5.67124790449193,319308
"40",43.8236913199278,-0.959164363178365,428962
"41",47.5760291829532,1.39379698889533,254178
"42",45.6128168027947,4.28183087746488,537382
"43",45.1698803810089,3.8970159260045,252467
"44",47.2683694934003,-1.74212244718633,1004682
"45",47.9210901387677,2.18129023155267,555592
"46",44.6359951667303,1.58682127203358,175473
"47",44.3473063409129,0.543388233549854,339299
"48",44.6155286324786,3.44713117035325,146007
"49",47.37697739654,-0.543055568731762,565305
"50",49.1674965162865,-1.42760542246959,410412
"51",49.0672313283125,4.12664808403576,483229
"52",48.2355765511292,5.13459807814816,242135
"53",48.1105840579175,-0.703824203966145,217685
"54",48.8242472824308,6.11745461883389,621703
"55",48.9490425826724,5.37620279418075,193463
"56",47.7375307757846,-2.96089247205655,581477
"57",49.1426366610746,6.47221971198214,921047
"58",47.1192112751076,3.39497410682729,215184
"59",50.5439471356238,3.1567327390877,1798218
"60",49.3514177041188,2.43633354268592,632757
"61",48.5769020191873,0.0643228083781205,213261
"62",50.5220535544056,2.38382802943093,1023104
"63",45.7410180257436,3.16844421970611,617070
"64",43.356274544317,-0.835729678101604,637779
"65",43.158124037035,0.103945172851806,247296
"66",42.648757239029,2.83626946059894,351251
"67",48.607472046372,7.64826962573704,979199
"68",47.8539472534923,7.3127630146344,628023
"69",45.7772044230241,4.80875883803016,1229078
"70",47.6335713648461,6.15617952914049,248538
"71",46.6233031326361,4.57172586666748,438370
"72",47.9799364100736,0.193186390169839,435657
"73",45.5472484255894,6.16687457053488,333041
"74",46.0591307938054,6.34136446816457,659700
"75",48.8356881243274,2.35913481556181,1935887
"76",49.5455568652929,0.906772381051566,830559
"77",48.6839728267973,2.77649561452697,1102227
"78",48.857553752187,1.99295814289575,941341
"79",46.5557595034687,-0.373786177809453,296848
"80",49.9468019848118,2.24638829247628,429862
"81",43.7986525244324,2.1393735934725,263877
"82",44.0528644645168,1.25270909769807,204866
"83",43.2764518627522,6.19886139624375,775243
"84",43.9983087754841,5.03755098818337,355576
"85",46.6784615718546,-1.47950105019142,537923
"86",46.608142188495,0.445416078873154,353243
"87",45.8619247740594,1.23362270310472,332165
"88",48.1830728602746,6.49366851233695,344486
"89",47.8944787167336,3.497529328096,297247
"90",47.6223454188482,6.87966046489342,114574
"91",48.6304282258643,2.30174423507147,932487
"92",48.8330771434389,2.27191408946781,1196742
"93",48.9076439424525,2.45648808597952,846372
"94",48.7965953965265,2.4357040805054,870260
"95",49.0197151981637,2.24387292700987,723328
