"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90","91","92","93","94","95","96"
"1",0,3.40014100724077e-05,9.35891774402673e-05,4.17143775846205e-05,3.95900486008009e-05,0.000127297308360624,8.39895348471939e-05,2.07474309653686e-05,2.07406654382858e-05,2.73991645050552e-05,2.88362001642744e-05,5.31937831958771e-05,0.000211434748151956,3.80882396793645e-05,4.28621804770511e-05,2.12870390674739e-05,4.32136919970531e-05,3.02496643418544e-05,3.40344303975016e-05,0.000217168824968139,3.19213177149256e-05,1.71512501243405e-05,3.97291583028073e-05,0.000236864361560374,0.000177180061969597,3.03548708154189e-05,2.01129181147194e-05,4.36438681087102e-05,7.82666977653708e-06,9.41408960722663e-06,9.25980486354114e-05,8.28709049366141e-05,1.67050235646479e-05,8.61876093977268e-05,0.00012954149597558,4.79271064151303e-05,2.13663152121872e-05,3.34866570643996e-05,0.000711638070164148,0.000523189262418967,2.83503354372069e-05,1.97619130653291e-05,0.000285270504066697,9.02829853048616e-05,6.5854961024879e-05,4.81342744262609e-05,2.06426680612624e-05,2.68677308538096e-05,3.03529000415164e-05,3.72199045276666e-05,2.69017124464683e-05,4.26614532905264e-05,3.36747972242024e-05,1.4557851666187e-05,6.90118701603411e-05,1.96678197600719e-05,3.81146921830625e-05,8.89955672139021e-05,5.5489768179905e-05,0.000125947629517976,4.79672647275575e-05,1.442189699944e-05,6.96249071690397e-05,0.000199176086849816,4.31543867283003e-05,1.78419582415969e-05,3.03511216201149e-05,0.000152408373888895,0.000152527265765359,0.00181588117942878,6.46138857817556e-05,0.000400913351209072,2.9746655004552e-05,0.000242089578471937,0.000722392490436898,0.000152867313898853,5.60347444901583e-05,9.0998039919753e-05,6.94318681534456e-05,2.07188972477004e-05,3.06494236218635e-05,2.97411353749013e-05,1.81542955043157e-05,0.000136945164354097,7.93097115328898e-05,3.53358467381407e-05,2.62882086414545e-05,3.7179624635148e-05,7.7756360535397e-05,3.9380336454731e-05,2.98348265624653e-05,7.36338344829012e-05,9.24282132632324e-05,6.69858922821534e-05,6.96224275655306e-05,5.52013509700879e-05
"2",3.40014100724077e-05,0,2.01608844013846e-05,1.04657625324863e-05,8.70360361665321e-06,3.92391820710477e-05,1.59989292109713e-05,0.000420071210288355,1.53638288935857e-05,4.7220614413135e-05,1.86605055787408e-05,2.03514522815311e-05,6.70813919236395e-05,6.89604621563419e-05,1.45960482190081e-05,1.83439247661243e-05,4.03059272153184e-05,2.43232110179557e-05,1.45992381990818e-05,5.16074069282925e-05,3.96968829880949e-05,6.68918567287271e-06,2.72426145339015e-05,5.46992915270215e-05,2.80656273133886e-05,7.44502251049545e-05,4.19132587323985e-05,4.91258688639294e-05,6.57703137292596e-06,6.99400644467798e-06,3.16061113542548e-05,6.08756095773592e-05,1.30893055442017e-05,7.5455883271044e-05,5.18673341671001e-05,6.57279158853887e-05,1.79886367361848e-05,4.32380438779076e-05,7.03338458518576e-05,2.94524426957469e-05,2.63398572245922e-05,2.83761330535134e-05,3.61518712202564e-05,1.59008436060769e-05,7.68429256838764e-05,8.80651081878122e-05,1.09207688892713e-05,2.08342165889913e-05,9.04602740698716e-06,4.85359686240639e-05,4.08185222683937e-05,0.00163273039812329,3.4130989916508e-05,2.09533131511742e-05,8.82277265782872e-05,3.66361527628975e-05,4.38086954047442e-05,0.000133721551141824,2.28037071959503e-05,0.00064092070202268,0.00022804091503183,2.43364903218206e-05,0.000247213550747324,3.92581661167767e-05,3.91619952369748e-05,1.51174706559137e-05,2.14723516974004e-05,0.00011817992036509,6.58088529340345e-05,8.66509105545831e-05,2.68082031179626e-05,3.92775521930438e-05,4.64847684709376e-05,2.24252641494956e-05,5.00757642714772e-05,0.000428176080242835,0.000145310018456212,0.000277954945938592,0.000196400312685372,2.15768785261964e-05,0.00026102919175319,1.61310850327969e-05,1.25795319636082e-05,4.73914390192421e-05,2.17367436025943e-05,3.87300429520294e-05,2.58304207310639e-05,2.1286912895505e-05,4.40988485415154e-05,5.13106862681037e-05,1.1982723160487e-05,0.000188258968725098,0.000264693289753984,0.000225629760335583,0.000221275522593061,0.000192828122012562
"3",9.35891774402673e-05,2.01608844013846e-05,0,1.06491607289135e-05,1.01043945085746e-05,2.88872712350539e-05,3.98566199955933e-05,1.10621038540654e-05,1.21702299071695e-05,1.85227997396049e-05,1.61088650393279e-05,4.1962964647299e-05,5.79463371559817e-05,2.3833824220449e-05,7.27277538502074e-05,3.16905868671505e-05,3.44286223221072e-05,0.000185100065375978,6.74936474202962e-05,0.000116437065371548,1.92491501157514e-05,0.000101035715219212,5.15071810862314e-05,6.28866048620016e-05,5.77558195231979e-05,2.07887566205216e-05,1.62622693008586e-05,2.631806670261e-05,4.23375714597535e-06,4.50217173754789e-06,4.41376982322578e-05,5.66076326796298e-05,1.11293749571176e-05,7.00436025511217e-05,5.24216702855862e-05,3.12583733753834e-05,0.000105150018323863,3.59970472030269e-05,0.000186222848145848,5.81227291856353e-05,1.88344471474725e-05,2.5694706380063e-05,0.000172347727997206,7.51670628318113e-05,4.76596740529712e-05,5.71621633073156e-05,2.0844243331853e-05,2.16575659636429e-05,2.59271071689803e-05,3.27360234221777e-05,1.62222344916143e-05,2.65750368796999e-05,1.72249153528359e-05,1.03982737394485e-05,3.15313596136938e-05,1.02790601311036e-05,2.29838704654845e-05,4.29736538420821e-05,0.000259372017595128,7.36434193767685e-05,3.19649273436126e-05,1.01271471673828e-05,4.14792942447624e-05,0.00136674237982354,2.80029813066609e-05,1.08580327436495e-05,1.62482915150764e-05,4.38637915711947e-05,3.47654352493019e-05,0.000315630554681444,2.43406477520583e-05,0.000197777683345966,2.66864456615577e-05,4.38743621550595e-05,9.01804463452128e-05,0.000116549108604568,3.62742485812788e-05,7.12790264231923e-05,5.5098649340714e-05,2.5858959174529e-05,1.90194963559708e-05,1.77516958029854e-05,1.38019461803571e-05,3.68064440322855e-05,2.60268505810055e-05,2.60391862534906e-05,4.57825801213001e-05,0.000101085401941088,2.16793490528694e-05,3.49519873682226e-05,7.30893629456871e-06,5.99842679267488e-05,7.20492535616221e-05,5.0955402948553e-05,5.30598949703197e-05,4.09945090816197e-05
"4",4.17143775846205e-05,1.04657625324863e-05,1.06491607289135e-05,0,0.000559866996341147,0.000250513293909872,3.87773898347889e-05,6.16565917176658e-06,1.4816046586293e-05,6.36241814485732e-06,2.4005138473272e-05,2.38140942288684e-05,0.000536496168206213,1.40924199590854e-05,1.5059392196591e-05,8.09822308436215e-06,1.60318908170758e-05,5.98889289554468e-06,1.08012847721024e-05,1.76280398995295e-05,1.20947607058805e-05,3.22386304429302e-06,1.51087768803196e-05,2.42997749452455e-05,7.35093673876064e-05,1.07620523925066e-05,6.74112828293837e-06,1.65363518438665e-05,1.02556617274744e-05,1.15272482290013e-05,0.000118795096254239,5.63897378975576e-05,1.01102912065996e-05,3.43493990363855e-05,0.000107515476767524,1.81592404359057e-05,5.51711811492754e-06,1.12424492711632e-05,0.000149464432134595,1.95659933873967e-05,1.60179694663589e-05,6.31268768149574e-06,4.9707610005453e-05,2.62284779470042e-05,2.49519772963062e-05,1.39767964931411e-05,9.19369463604939e-06,1.53822650892695e-05,1.44254030442096e-05,1.4039743446671e-05,1.01928678986302e-05,1.21633026711911e-05,7.08559532399542e-06,5.4063586067496e-06,1.82141606488753e-05,5.33424227208772e-06,1.444138633152e-05,2.560682503826e-05,5.76782375147826e-06,4.46599966057012e-05,1.57149608513727e-05,5.29648548514609e-06,2.54095004984264e-05,3.83371841561173e-05,2.50488847579961e-05,1.14534788427545e-05,3.01337149056948e-05,3.07210277853964e-05,2.25451604518046e-05,0.000116708541288751,8.71110432917402e-06,2.02727063471902e-05,1.08198450584134e-05,4.58611856487649e-05,6.43355713378031e-05,4.80791021161066e-05,2.06275113033206e-05,2.7374575317738e-05,2.33788594401832e-05,7.37242685392382e-06,1.06759221968192e-05,1.69793316160416e-05,1.08872139627194e-05,0.000379022031453135,0.000193517732242168,1.33596924033285e-05,8.93767638183237e-06,9.88473973032957e-06,1.08304852316099e-05,7.86163425127629e-06,4.38298363693263e-06,2.31589641827968e-05,2.97219211785779e-05,2.10202381731028e-05,2.16135132926472e-05,1.79643547249603e-05
"5",3.95900486008009e-05,8.70360361665321e-06,1.01043945085746e-05,0.000559866996341147,0,0.000165766135278844,4.30690995087762e-05,5.30597835614657e-06,1.06967512362658e-05,5.58322381278814e-06,1.53322122975096e-05,1.79716839629155e-05,0.000167758540461163,1.15701367358386e-05,1.18238129110558e-05,6.44976167862332e-06,1.30955889460467e-05,5.16423232510555e-06,8.8556292379966e-06,1.63849813743774e-05,9.93002164004254e-06,2.68581439628722e-06,1.22081862841372e-05,3.11007041702299e-05,0.000151849293491915,8.83584353156349e-06,5.6060997296264e-06,1.35766498941244e-05,6.83172579426548e-06,8.28112767553088e-06,5.49406406123166e-05,4.23841024942493e-05,7.40778694332494e-06,2.72100949013446e-05,6.46643527393278e-05,1.49090713640665e-05,4.79956141433239e-06,9.23025823036355e-06,0.000284847721016391,2.30753322343683e-05,1.00646576642837e-05,5.27623023128329e-06,4.85193309852282e-05,2.08438234731197e-05,2.04860336255931e-05,1.16346007434601e-05,6.98133269042718e-06,1.17303526631802e-05,1.02972437867458e-05,1.1526888347473e-05,8.36853256288748e-06,1.08025277534564e-05,6.4528640018492e-06,4.43872014208201e-06,1.58725670371055e-05,4.7130336067551e-06,1.18566445646573e-05,2.29019988834708e-05,6.10163430179704e-06,3.66666810136409e-05,1.29022727378707e-05,4.34851228252085e-06,2.08616686140279e-05,3.57449797128417e-05,1.52202884644878e-05,8.11845210552955e-06,1.90836240756544e-05,2.72000586298707e-05,2.94282415287546e-05,0.000122539593724418,9.1212116153274e-06,2.74322984630534e-05,8.88329237631909e-06,0.0001198234916903,7.51023841570879e-05,4.03343560357641e-05,1.69355672760525e-05,2.29649851722916e-05,1.96129128637478e-05,6.05289843919774e-06,8.76512905214258e-06,1.22911474253216e-05,8.18381604934417e-06,0.00014903243514218,8.23288025488706e-05,1.09685538966359e-05,7.20282435238751e-06,8.19571089623049e-06,1.04023951916798e-05,6.74424393739526e-06,5.70139878541953e-06,1.94284390859185e-05,2.49342125397569e-05,1.76342263710133e-05,1.81319347067696e-05,1.50705950722522e-05
"6",0.000127297308360624,3.92391820710477e-05,2.88872712350539e-05,0.000250513293909872,0.000165766135278844,0,9.00462423317507e-05,2.28090083689304e-05,5.05406912317447e-05,2.28440527859644e-05,7.49269179193178e-05,7.0313606184685e-05,0.00102174178057382,5.28365736256438e-05,4.19668358072474e-05,2.73555650607223e-05,5.76519866812256e-05,2.1564975448975e-05,2.68812210969233e-05,5.5884805766625e-05,4.53467691408676e-05,1.04336838927037e-05,4.76310018943078e-05,8.29741552988678e-05,0.000180570442894912,4.03500587727743e-05,2.52744469633659e-05,6.19995837645128e-05,8.28992504452201e-05,0.000156493007119601,0.000217835014270254,0.000184147270014875,3.3002846287039e-05,0.00012032954206252,0.000277559189168875,6.80842642401478e-05,2.00047197897855e-05,4.21512061358504e-05,0.000439566530138711,5.2315210670787e-05,4.39423377707589e-05,2.36680987670972e-05,0.000138316436430862,6.38384896631979e-05,9.35522067430098e-05,5.17346360826235e-05,2.84528782021806e-05,3.97143761356184e-05,3.82154492726565e-05,5.26390740879773e-05,3.82160208641263e-05,4.59773852143959e-05,2.52952548249711e-05,2.02700079476412e-05,6.71693705011966e-05,1.95870081202417e-05,5.4144949865037e-05,9.95107747461659e-05,2.13380339080679e-05,0.000167443292609006,5.89199504739676e-05,1.98580617172608e-05,9.52675940522477e-05,8.13278942319426e-05,8.24776336588486e-05,3.82879109123556e-05,9.09844267968496e-05,0.000115424065921587,8.66537764682369e-05,0.000348804057982445,3.13811544230566e-05,5.86730805789942e-05,4.05667402551648e-05,0.000149885012304736,0.000224997538138519,0.000180262511774975,7.73385282908099e-05,0.000102635230034705,8.76541312053681e-05,2.76413685795595e-05,4.00271316645105e-05,5.61219858591364e-05,3.44484038803316e-05,0.00134394314354464,0.000245828840402376,5.00893652994879e-05,3.28926587383083e-05,3.34005712049571e-05,4.06004349757147e-05,2.8819705783483e-05,1.58914076059325e-05,8.68296800471881e-05,0.000111436111129734,7.88109753389577e-05,8.10353359970336e-05,6.73535811321471e-05
"7",8.39895348471939e-05,1.59989292109713e-05,3.98566199955933e-05,3.87773898347889e-05,4.30690995087762e-05,9.00462423317507e-05,0,9.70782889724411e-06,2.28552346651719e-05,1.05283539555916e-05,3.78732436455022e-05,6.15385043903121e-05,0.000196356104196018,2.12560928379027e-05,5.3308587318643e-05,1.89375767530434e-05,2.75920097191873e-05,1.25006185707074e-05,2.56976533241931e-05,2.94854505794186e-05,1.82429531026479e-05,1.04671296913019e-05,3.54967086853859e-05,4.63910968807635e-05,0.00119296996292938,1.62327822649092e-05,1.01898071882163e-05,2.49423612845741e-05,5.89178516211189e-06,7.71282649285291e-06,0.000174711552612993,9.38005844275467e-05,1.78223422220494e-05,7.67532942705484e-05,0.000166952360504419,2.73902212460365e-05,1.07583406131788e-05,1.8356391965526e-05,0.000413595730391506,3.88925800285743e-05,2.79585938927029e-05,1.05165423496173e-05,0.000288138035015656,0.000315026830340196,3.76359452414407e-05,2.28180676930081e-05,1.87238323709614e-05,2.80060153425779e-05,0.000163331043494933,2.20132509423061e-05,1.53742612671773e-05,1.94163138292314e-05,1.11799249844463e-05,8.15460089847636e-06,2.63910808419266e-05,8.06886526598872e-06,2.17824510951298e-05,3.80291257996594e-05,1.3730028657265e-05,6.73622441530485e-05,2.37034283515961e-05,7.98887540349573e-06,3.83260435842376e-05,0.000168439602163855,4.02622745554919e-05,1.92179249301056e-05,4.09767912474394e-05,4.19190587014962e-05,3.46135542701449e-05,0.000380551578180915,1.38675071555279e-05,6.19758889876907e-05,1.66459469066356e-05,8.04835553472085e-05,0.000101772462186977,7.36587834786949e-05,3.11132010365327e-05,4.29697842989468e-05,3.52631562320446e-05,1.29028265705327e-05,1.61028690604352e-05,3.2472060218399e-05,1.91681774898982e-05,0.000122673093436547,0.000136880878719012,2.14673923864266e-05,1.63229160024262e-05,2.60959277014165e-05,1.67819866552684e-05,1.32797225856239e-05,7.49289695292305e-06,3.60308599751796e-05,4.55349717508617e-05,3.22037039819111e-05,3.31126211964691e-05,2.70962682715534e-05
"8",2.07474309653686e-05,0.000420071210288355,1.10621038540654e-05,6.16565917176658e-06,5.30597835614657e-06,2.28090083689304e-05,9.70782889724411e-06,0,8.93070862634456e-06,2.92283373180325e-05,1.08470056063686e-05,1.19895820327372e-05,3.89931682830549e-05,3.2156626601978e-05,8.46792548414562e-06,1.04270930722757e-05,2.27464301098328e-05,1.05004197801813e-05,8.48626624428447e-06,3.19900870884342e-05,2.09598235495898e-05,3.84040603675604e-06,1.58356262821743e-05,3.3902560396535e-05,1.70296589390094e-05,3.13785801168239e-05,1.80084347206175e-05,2.67357697021075e-05,3.82310628585894e-06,4.06548615718263e-06,1.86200011466285e-05,3.53858621670463e-05,7.57478850759817e-06,4.32955168486879e-05,3.01495188393439e-05,3.22215652829675e-05,8.64805062324309e-06,2.06393920582538e-05,4.3445582540106e-05,1.81537505245037e-05,1.5310870210912e-05,1.23341872960722e-05,2.13581282155501e-05,9.33655486051499e-06,4.00464006605004e-05,3.79364798722691e-05,6.26312896834535e-06,1.21105434786583e-05,5.32100386146996e-06,2.39402289531546e-05,2.10225683937386e-05,0.000619812781335443,5.49169592068431e-05,1.05352093840679e-05,0.000154999981932049,0.00010989033180985,2.3235282869137e-05,0.00026183753407783,1.14304273811128e-05,0.000611236865684676,6.28516932092841e-05,1.17143801984727e-05,0.000119141044745683,2.28200434424221e-05,2.27150453242967e-05,8.78750515450254e-06,1.24814795751819e-05,8.94601888070685e-05,4.70006997637758e-05,5.09489649803024e-05,1.91211963997741e-05,2.33604296676704e-05,2.20616356491423e-05,1.39768468030607e-05,3.13502978203338e-05,0.000178038702738017,6.12575602298543e-05,0.000109636744444848,7.92036129174825e-05,1.12331262295608e-05,4.40669212957866e-05,9.37670038194983e-06,7.27978224873155e-06,2.75477640499321e-05,1.28056940085985e-05,2.05110621376746e-05,1.34679436967449e-05,1.20107896200067e-05,3.30339657725725e-05,2.53546737451373e-05,7.75130713746851e-06,7.97707598824992e-05,0.000104541289448954,8.06233352791656e-05,8.00356433225629e-05,6.53860265652796e-05
"9",2.07406654382858e-05,1.53638288935857e-05,1.21702299071695e-05,1.4816046586293e-05,1.06967512362658e-05,5.05406912317447e-05,2.28552346651719e-05,8.93070862634456e-06,0,8.60995564775941e-06,0.000256726872153507,8.39425702978905e-05,0.000114749090707279,2.06877930084759e-05,2.93463005308503e-05,2.67329548108268e-05,4.94393820397689e-05,8.71009549334321e-06,2.7839165673845e-05,1.84140640589254e-05,1.8344898708797e-05,5.44911523581014e-06,7.37954347068397e-05,2.14728991546286e-05,3.90745094725181e-05,1.57987849417596e-05,9.94016811771247e-06,2.55649774554465e-05,7.2725144591848e-06,6.93542123917388e-06,6.33676333127221e-05,0.00125021774442561,9.16735025182818e-05,0.000202652674880625,0.00020808127196579,2.76742321909021e-05,8.90015078055937e-06,1.71307295475254e-05,7.49065935944996e-05,1.26822506740995e-05,0.000107822912007793,9.30840865133763e-06,3.67642709551055e-05,2.17274021301555e-05,4.07647283380662e-05,2.0346675870508e-05,3.93084636696852e-05,8.9293245245462e-05,1.74113915629463e-05,2.25916858454682e-05,1.49632172374805e-05,1.76180533279984e-05,8.9471492026422e-06,8.2379617550706e-06,2.26666789620999e-05,7.0534704063592e-06,2.28493602733625e-05,3.3580466328786e-05,8.06721609707096e-06,6.55612569182863e-05,2.30696969131908e-05,7.79311819924461e-06,3.73013640160016e-05,4.44107123732473e-05,0.000170756657835327,0.000122013756273278,0.000295411593527985,3.57006309652829e-05,2.32061266801204e-05,6.13415063217007e-05,9.38704951703918e-06,1.74111460658831e-05,1.59544625727474e-05,1.75289352536725e-05,3.0034468780762e-05,7.05805330453652e-05,3.02813629853527e-05,4.01861106546992e-05,3.43203655778757e-05,1.40357594736639e-05,1.56723450779652e-05,0.000190167476226925,9.05532411947605e-05,7.43943993422029e-05,3.51104245026057e-05,2.48281353087145e-05,1.59662193465535e-05,2.66339341475951e-05,1.27291289579012e-05,1.10332455430213e-05,4.2758407696242e-06,3.40755290946728e-05,4.36320344512755e-05,3.0857889388519e-05,3.17288223372849e-05,2.63718263548636e-05
"10",2.73991645050552e-05,4.7220614413135e-05,1.85227997396049e-05,6.36241814485732e-06,5.58322381278814e-06,2.28440527859644e-05,1.05283539555916e-05,2.92283373180325e-05,8.60995564775941e-06,0,1.05743126304212e-05,1.18422847595351e-05,3.80128827105575e-05,2.80261467699796e-05,8.75158122846632e-06,1.07296178999547e-05,2.30681671162359e-05,2.28658577108215e-05,8.81369093734225e-06,0.000172267993312786,1.97329657543545e-05,4.69574573916688e-06,1.60611534207619e-05,4.52826821071519e-05,1.83391636814414e-05,2.93236961050638e-05,2.29099615374518e-05,2.32564471113289e-05,3.67736276673132e-06,3.91050269211285e-06,1.83066553748491e-05,3.46521955746739e-05,7.41773795316837e-06,4.2865348762887e-05,2.97421173984287e-05,3.08661658012796e-05,1.42535791497235e-05,2.34857755112306e-05,4.83940452309188e-05,2.50225210430719e-05,1.4727192976068e-05,2.03647785965712e-05,2.56258694244034e-05,1.04893275631308e-05,4.02826268485777e-05,7.01349429275649e-05,6.32636030453691e-06,1.19631518662325e-05,5.50102890461877e-06,2.40676443095411e-05,1.80645655909492e-05,0.000491676232755791,0.000533945173314864,9.80372687343473e-06,7.52697144138195e-05,7.61526401826e-05,2.20279165277771e-05,9.21414274708816e-05,3.85032158697772e-05,0.000136560753820927,5.93760972872542e-05,1.07400006205827e-05,7.07439216424325e-05,2.87248722886576e-05,2.18963320972107e-05,8.49020639173101e-06,1.20056636754421e-05,7.57858359597828e-05,5.29338121481655e-05,6.09012690833621e-05,2.62663915063684e-05,3.61174855561979e-05,2.19125460091802e-05,1.54940005527254e-05,3.48886646269252e-05,0.00023529672340053,5.15618080069158e-05,0.000167191776956661,0.000100261075023064,1.15639495179717e-05,3.3135661817545e-05,9.29230905399167e-06,7.21426341308662e-06,2.68552151537593e-05,1.25901940179863e-05,2.06754818271369e-05,1.53256505191024e-05,1.2872164184287e-05,3.40573045174838e-05,0.000953327454989252,1.01248175142027e-05,0.000122075108987647,0.00014326505689909,0.00010287199530652,0.000112415872499558,8.29778017751604e-05
